,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
82,82,68,2,1,1.0,1.0,0.0,0,1,0,1,0,1,London,England
83,83,96,6,2,3.0,1.0,0.0,25,1,0,1,0,1,London,England
84,84,41,2,1,1.0,3.0,0.0,276,1,0,1,0,1,London,England
85,85,40,2,1,1.0,2.0,0.0,406,1,0,1,0,1,London,England
86,86,250,7,2,4.0,2.0,0.0,29,1,0,0,0,1,London,England
87,87,43,3,1,2.0,1.0,0.0,0,0,0,1,0,1,London,England
88,88,77,2,1,1.0,1.0,0.0,68,1,0,1,0,1,London,England
89,89,15,4,1,1.0,1.0,0.0,0,1,0,1,0,1,London,England
90,90,43,3,1,1.0,1.0,0.0,0,0,0,1,1,1,London,England
91,91,78,6,1,3.0,1.0,5.0,0,1,0,0,0,1,London,England
92,92,55,2,1,0.0,1.0,0.0,53,0,0,1,0,1,London,England
93,93,60,2,1,1.0,1.0,0.0,116,1,0,0,1,1,London,England
94,94,60,2,1,1.0,1.0,0.0,0,1,0,1,0,1,London,England
95,95,42,2,1,1.0,4.0,0.0,212,1,0,1,0,1,London,England
96,96,36,2,1,1.0,1.0,0.0,0,0,0,1,0,1,London,England
97,97,40,2,1,1.0,1.5,0.0,29,1,0,0,0,1,London,England
98,98,128,2,1,1.0,1.0,0.0,715,0,0,0,0,1,London,England
99,99,80,2,2,2.0,1.0,0.0,3,1,0,1,0,1,London,England
