,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,airconditioning,freeparking,kitchen,petsallowed,wifi,score,city,country,reviews
78,78,144,4,1,0.0,1.0,0,1,1,0,1,5.0,losangles,US,4
79,79,58,4,2,2.0,2.5,0,0,1,0,1,4.0,losangles,US,8
80,80,36,2,1,1.0,0.0,0,1,1,0,1,0.0,losangles,US,0
81,81,51,2,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
82,82,68,2,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
83,83,96,6,2,3.0,1.0,0,1,1,0,1,4.92,losangles,US,25
84,84,41,2,1,1.0,3.0,0,1,1,0,1,4.28,losangles,US,276
85,85,40,2,1,1.0,2.0,0,0,1,0,1,4.17,losangles,US,406
86,86,43,3,1,2.0,1.0,0,0,1,0,1,0.0,losangles,US,0
87,87,250,7,2,4.0,2.0,0,1,1,0,1,4.9,losangles,US,29
88,88,77,2,1,1.0,1.0,0,1,1,0,1,4.93,losangles,US,68
89,89,43,3,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
90,90,15,4,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
91,91,78,6,1,3.0,1.0,0,1,1,0,1,0.0,losangles,US,0
92,92,55,2,1,0.0,1.0,0,0,1,0,1,4.77,losangles,US,53
93,93,60,2,1,1.0,1.0,0,1,1,0,1,4.91,losangles,US,116
94,94,60,2,1,1.0,1.0,0,1,1,0,1,0.0,losangles,US,0
95,95,42,2,1,1.0,4.0,0,0,1,0,1,4.32,losangles,US,212
96,96,36,2,1,1.0,1.0,0,0,1,0,1,0.0,losangles,US,0
97,97,58,4,2,2.0,2.5,0,0,1,0,1,4.0,losangles,US,8
98,98,40,2,1,1.0,1.5,0,1,1,0,1,4.79,losangles,US,29
99,99,80,2,2,2.0,1.0,0,1,1,0,1,4.67,losangles,US,3
