,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
61,61,128,2,1,1.0,1.0,0.0,715,0,0,0,0,0,1,dubai,UnitedArabEmirates
62,62,52,2,1,1.0,1.0,4.95,117,0,0,0,1,0,1,dubai,UnitedArabEmirates
63,63,188,4,1,2.0,1.0,0.0,88,1,0,0,0,0,1,dubai,UnitedArabEmirates
64,64,39,2,1,1.0,1.0,0.0,189,1,0,0,0,0,1,dubai,UnitedArabEmirates
65,65,80,2,2,2.0,1.0,0.0,3,1,0,0,1,0,1,dubai,UnitedArabEmirates
66,66,125,4,1,1.0,1.0,0.0,61,0,0,0,1,0,1,dubai,UnitedArabEmirates
67,67,82,2,1,1.0,1.0,0.0,0,0,1,0,0,0,1,dubai,UnitedArabEmirates
68,68,97,4,1,1.0,1.0,0.0,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
69,69,89,4,1,2.0,1.0,0.0,149,1,0,0,1,0,1,dubai,UnitedArabEmirates
70,70,66,4,1,1.0,1.0,5.0,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
71,71,114,2,1,1.0,1.0,0.0,32,0,0,1,1,1,1,dubai,UnitedArabEmirates
72,72,88,2,1,2.0,1.0,0.0,116,1,0,1,0,0,1,dubai,UnitedArabEmirates
73,73,58,2,1,1.0,1.0,0.0,299,1,0,0,0,0,1,dubai,UnitedArabEmirates
74,74,92,4,1,1.0,1.0,0.0,283,1,0,0,0,1,1,dubai,UnitedArabEmirates
75,75,48,2,1,1.0,1.0,4.77,0,1,0,0,0,1,1,dubai,UnitedArabEmirates
76,76,89,3,1,1.0,1.0,0.0,16,1,1,0,0,0,1,dubai,UnitedArabEmirates
77,77,95,2,1,1.0,1.0,4.22,71,0,0,0,1,0,1,dubai,UnitedArabEmirates
78,78,85,4,2,2.0,1.0,0.0,0,1,0,0,1,1,1,dubai,UnitedArabEmirates
79,79,85,2,2,2.0,2.0,0.0,0,0,1,0,0,0,1,dubai,UnitedArabEmirates
80,80,69,2,1,1.0,1.0,4.81,348,0,0,1,0,0,1,dubai,UnitedArabEmirates
81,81,51,2,1,1.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
82,82,188,4,1,2.0,1.0,4.95,88,0,0,1,1,0,1,dubai,UnitedArabEmirates
83,83,40,2,1,1.0,1.5,0.0,29,0,0,1,1,0,1,dubai,UnitedArabEmirates
84,84,59,4,2,3.0,1.5,0.0,17,0,0,1,1,0,1,dubai,UnitedArabEmirates
85,85,58,4,2,2.0,2.5,0.0,8,0,0,0,1,0,1,dubai,UnitedArabEmirates
86,86,115,3,1,2.0,1.0,0.0,195,0,0,1,1,0,1,dubai,UnitedArabEmirates
87,87,53,4,1,2.0,1.0,0.0,40,0,0,1,1,0,1,dubai,UnitedArabEmirates
88,88,43,3,1,2.0,1.0,0.0,0,0,0,0,1,0,1,dubai,UnitedArabEmirates
89,89,37,2,1,1.0,1.0,0.0,11,0,0,0,1,0,1,dubai,UnitedArabEmirates
90,90,58,2,1,1.0,1.0,5.0,299,0,0,0,0,0,1,dubai,UnitedArabEmirates
91,91,36,2,1,1.0,0.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
92,92,125,4,1,1.0,1.0,0.0,61,0,0,0,1,0,1,dubai,UnitedArabEmirates
93,93,69,3,1,2.0,1.0,0.0,245,0,0,1,0,0,1,dubai,UnitedArabEmirates
94,94,52,2,1,1.0,1.0,0.0,54,0,0,1,1,0,1,dubai,UnitedArabEmirates
95,95,69,4,1,1.0,1.0,4.77,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
96,96,95,2,2,2.0,2.0,0.0,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
97,97,69,2,1,1.0,1.0,4.22,0,0,0,1,1,0,1,dubai,UnitedArabEmirates
98,98,43,2,1,1.0,1.0,0.0,31,0,0,0,0,0,1,dubai,UnitedArabEmirates
99,99,52,2,1,1.0,1.0,0.0,36,0,0,0,1,0,1,dubai,UnitedArabEmirates
