,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
74,74,140,4,4,4.0,4.0,0.0,0,0,1,1,0,1,Birmingham,England
75,75,55,2,1,1.0,1.0,0.0,50,0,1,0,0,1,Birmingham,England
76,76,48,2,1,1.0,1.0,0.0,130,0,1,0,0,1,Birmingham,England
77,77,144,4,1,0.0,1.0,0.0,4,0,1,1,0,1,Birmingham,England
78,78,66,4,1,2.0,1.0,0.0,80,0,1,1,0,1,Birmingham,England
79,79,130,4,3,0.0,3.5,0.0,0,0,1,1,0,1,Birmingham,England
80,80,69,2,1,1.0,1.0,4.81,348,0,1,0,0,1,Birmingham,England
81,81,51,2,1,1.0,1.0,0.0,0,0,0,1,0,1,Birmingham,England
82,82,188,4,1,2.0,1.0,0.0,88,0,1,1,0,1,Birmingham,England
83,83,58,4,2,2.0,2.5,0.0,8,0,0,1,0,1,Birmingham,England
84,84,40,2,1,1.0,1.5,0.0,29,0,1,1,0,1,Birmingham,England
85,85,59,4,2,3.0,1.5,0.0,17,0,1,1,0,1,Birmingham,England
86,86,115,3,1,2.0,1.0,0.0,195,0,1,1,0,1,Birmingham,England
87,87,43,3,1,2.0,1.0,0.0,0,0,0,1,0,1,Birmingham,England
88,88,53,4,1,2.0,1.0,0.0,40,0,1,1,0,1,Birmingham,England
89,89,37,2,1,1.0,1.0,0.0,11,0,0,1,0,1,Birmingham,England
90,90,36,2,1,1.0,0.0,0.0,0,0,1,1,0,1,Birmingham,England
91,91,58,2,1,1.0,1.0,5.0,299,0,0,0,0,1,Birmingham,England
92,92,125,4,1,1.0,1.0,0.0,61,0,0,1,0,1,Birmingham,England
93,93,69,3,1,2.0,1.0,0.0,245,0,1,0,0,1,Birmingham,England
94,94,52,2,1,1.0,1.0,0.0,54,0,1,1,0,1,Birmingham,England
95,95,69,4,1,1.0,1.0,0.0,0,0,1,1,0,1,Birmingham,England
96,96,95,2,2,2.0,2.0,0.0,0,0,1,1,0,1,Birmingham,England
97,97,52,2,1,1.0,1.0,0.0,36,0,0,1,0,1,Birmingham,England
98,98,69,2,1,1.0,1.0,0.0,0,0,1,1,0,1,Birmingham,England
99,99,43,2,1,1.0,1.0,0.0,31,0,0,0,0,1,Birmingham,England
