,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
72,72,92,4,1,1.0,1.0,0.0,283,0,0,1,1,0,1,Pairs,France
73,73,48,2,1,1.0,1.0,0.0,0,0,0,0,0,0,1,Pairs,France
74,74,89,3,1,1.0,1.0,0.0,15,0,0,0,1,0,1,Pairs,France
75,75,95,2,1,1.0,1.0,0.0,71,0,0,0,1,0,1,Pairs,France
76,76,103,4,1,1.0,1.0,0.0,92,0,0,1,1,0,1,Pairs,France
77,77,85,4,2,2.0,1.0,0.0,0,0,0,0,1,0,1,Pairs,France
78,78,65,2,1,1.0,1.0,0.0,208,0,0,1,1,0,1,Pairs,France
79,79,85,2,2,2.0,2.0,0.0,0,0,0,1,1,0,1,Pairs,France
80,80,75,4,1,1.0,1.0,4.81,76,0,0,0,1,0,1,Pairs,France
81,81,56,2,1,1.0,1.0,0.0,167,0,0,0,1,0,1,Pairs,France
82,82,108,3,1,1.0,1.0,0.0,365,0,0,0,1,0,1,Pairs,France
83,83,47,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,Pairs,France
84,84,125,3,1,2.0,1.0,0.0,229,0,0,1,1,0,1,Pairs,France
85,85,134,3,1,1.0,1.0,0.0,137,0,0,0,1,0,1,Pairs,France
86,86,184,2,1,1.0,1.5,0.0,677,0,0,1,1,0,1,Pairs,France
87,87,90,6,2,3.0,2.0,0.0,65,0,0,1,1,0,1,Pairs,France
88,88,90,2,1,1.0,1.0,0.0,14,0,0,1,1,0,1,Pairs,France
89,89,85,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,Pairs,France
90,90,145,3,1,1.0,1.0,0.0,0,0,0,0,1,0,1,Pairs,France
91,91,83,2,1,1.0,1.0,5.0,4,0,0,1,1,0,1,Pairs,France
92,92,74,2,1,1.0,1.0,0.0,83,0,0,1,1,0,1,Pairs,France
93,93,55,2,1,0.0,1.0,0.0,53,0,0,0,1,0,1,Pairs,France
94,94,70,4,1,2.0,1.0,0.0,168,0,0,1,1,0,1,Pairs,France
95,95,69,2,1,1.0,1.0,0.0,282,0,0,1,0,0,1,Pairs,France
96,96,50,2,1,1.0,1.0,0.0,152,0,0,1,0,0,1,Pairs,France
97,97,50,2,1,1.0,1.0,0.0,7,0,0,0,0,0,1,Pairs,France
98,98,75,2,1,1.0,1.0,0.0,0,0,0,1,1,0,1,Pairs,France
99,99,69,2,1,1.0,1.0,0.0,272,0,0,1,0,0,1,Pairs,France
