,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,freeparking,kitchen,petsallowed,wifi,city,country
80,80,65,2,1,1,1,4.63,208,0,1,1,0,1,tokyo,Japan
81,81,103,4,1,1,1,4.93,92,0,1,1,0,1,tokyo,Japan
82,82,75,4,1,1,1,4.82,76,0,0,1,0,1,tokyo,Japan
83,83,56,2,1,1,1,4.68,167,0,0,1,0,1,tokyo,Japan
84,84,108,3,1,1,1,4.89,365,0,0,1,0,1,tokyo,Japan
85,85,47,2,1,1,1,0.0,0,0,1,1,0,1,tokyo,Japan
86,86,134,3,1,1,1,4.82,137,0,0,1,0,1,tokyo,Japan
87,87,125,3,1,2,1,4.97,229,0,1,1,0,1,tokyo,Japan
88,88,184,2,1,1,1.5,4.91,677,0,1,1,0,1,tokyo,Japan
89,89,90,6,2,3,2,4.74,65,0,1,1,0,1,tokyo,Japan
90,90,85,2,1,1,1,0.0,0,0,1,1,0,1,tokyo,Japan
91,91,90,2,1,1,1,4.86,14,0,1,1,0,1,tokyo,Japan
92,92,145,3,1,1,1,0.0,0,0,0,1,0,1,tokyo,Japan
93,93,83,2,1,1,1,5.0,4,0,1,1,0,1,tokyo,Japan
94,94,74,2,1,1,1,4.41,83,0,1,1,0,1,tokyo,Japan
95,95,55,2,1,0,1,4.77,53,0,0,1,0,1,tokyo,Japan
96,96,69,2,1,1,1,4.43,282,0,1,0,0,1,tokyo,Japan
97,97,70,4,1,2,1,4.76,168,0,1,1,0,1,tokyo,Japan
98,98,50,2,1,1,1,4.46,152,0,1,0,0,1,tokyo,Japan
99,99,69,2,1,1,1,4.56,272,0,1,0,0,1,tokyo,Japan
