,Unnamed: 0,price,guests,bedrooms,beds,bathrooms,score,reviews,airconditioning,elevator,freeparking,kitchen,petsallowed,wifi,city,country
72,72,75,4,1,2.0,1.0,0.0,0,1,0,0,1,1,1,hongkong,china
73,73,50,2,1,1.0,2.0,0.0,4,1,0,0,1,0,1,hongkong,china
74,74,90,4,2,1.0,2.0,0.0,0,0,0,0,1,0,0,hongkong,china
75,75,47,2,1,1.0,1.0,0.0,63,1,0,0,0,0,1,hongkong,china
76,76,80,2,2,2.0,1.0,0.0,3,1,0,0,1,0,1,hongkong,china
77,77,73,3,1,0.0,1.0,0.0,0,1,0,0,0,0,1,hongkong,china
78,78,50,4,1,2.0,2.0,0.0,4,1,0,0,1,1,1,hongkong,china
79,79,50,2,1,1.0,1.0,0.0,4,0,0,0,0,0,1,hongkong,china
80,80,58,4,2,2.0,2.5,4.81,8,1,0,0,1,0,1,hongkong,china
81,81,55,2,1,1.0,1.0,0.0,50,1,0,1,0,0,1,hongkong,china
82,82,53,4,1,2.0,1.0,0.0,387,0,0,0,1,1,1,hongkong,china
83,83,115,3,1,2.0,1.0,0.0,195,1,0,0,1,0,1,hongkong,china
84,84,45,2,1,1.0,1.0,0.0,219,0,0,0,0,0,1,hongkong,china
85,85,37,2,1,1.0,1.0,0.0,0,0,0,0,0,0,1,hongkong,china
86,86,140,4,4,4.0,4.0,0.0,0,1,0,1,1,0,1,hongkong,china
87,87,36,2,1,1.0,0.0,0.0,0,1,0,1,1,0,1,hongkong,china
88,88,42,2,1,1.0,4.0,0.0,212,1,0,0,1,0,1,hongkong,china
89,89,100,4,1,2.0,1.0,0.0,0,1,0,0,1,0,1,hongkong,china
90,90,69,4,1,1.0,1.0,0.0,0,1,0,1,1,0,1,hongkong,china
91,91,66,4,1,2.0,1.0,5.0,80,1,0,1,1,0,1,hongkong,china
92,92,46,2,1,1.0,1.5,0.0,13,1,0,1,0,0,1,hongkong,china
93,93,82,2,1,1.0,1.0,0.0,0,1,0,1,1,0,1,hongkong,china
94,94,28,16,1,2.0,3.0,0.0,0,1,0,1,1,0,1,hongkong,china
95,95,60,2,1,1.0,1.0,0.0,147,1,0,1,0,0,1,hongkong,china
96,96,54,2,1,1.0,1.0,0.0,0,1,0,0,1,0,1,hongkong,china
97,97,94,2,1,1.0,1.0,0.0,304,1,0,1,0,0,1,hongkong,china
98,98,55,2,1,0.0,1.0,0.0,53,0,0,0,1,0,1,hongkong,china
99,99,103,2,1,2.0,1.0,0.0,626,1,0,0,1,1,1,hongkong,china
